,CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE,clusters
68,1.6475,189.0,15.0,700.0,0.18,1.12,6.886,0.0,0.1,0.7,1.86,2168.0,42.0,23.0,1.75,34.0,17.0,322.0,5.0,6.15,4.57,2.0,597.0,4.25,0.007,3
69,1.6475,0.0,9.0,733.0,0.05,0.89,4.454,0.0,0.07,0.8,0.26,4960.0,3.0,0.0,0.87,41.0,17.0,328.0,4.0,4.12,2.54,4.0,589.0,4.25,0.0016,1
70,1.6475,38.0,16.0,773.0,0.08,0.79,6.482,0.0146,0.17,0.79,0.93,2892.0,5.0,16.0,0.93,25.0,17.0,432.0,5.0,4.9,2.67,3.0,642.0,4.25,0.0012,2
71,1.4,170.0,2.0,162.0,0.4,0.64,0.614,0.0,0.2,0.0,1.64,342.0,1.0,0.0,0.75,24.0,17.0,175.0,4.0,7.32,2.81,0.0,438.0,6.25,0.004,0
72,1.9,347.0,2.0,233.5,0.42,0.805,1.9265,0.0,0.225,0.0,1.215,601.0,2.0,31.0,1.1,27.0,17.0,170.5,3.5,7.37,2.81,0.0,622.0,3.0,0.004,0
73,1.6475,172.0,3.0,236.0,0.41,0.79,1.925,0.0,0.22,0.0,2.14,597.0,1.0,38.0,1.05,27.0,17.0,157.0,4.0,7.54,2.77,0.0,831.0,4.25,0.004,0
74,1.65,260.0,3.0,249.0,0.35,0.79,0.2065,0.0,0.18,0.0,1.3,612.0,4.5,14.0,0.645,20.5,17.0,131.5,3.0,7.07,1.9,0.0,523.5,4.25,0.004,0
75,1.6475,184.0,17.0,869.0,0.21,1.24,6.448,0.0,0.11,0.89,1.04,3365.0,7.0,11.0,1.62,33.0,17.0,253.0,5.0,6.05,5.04,2.0,571.0,4.25,0.017,3
76,1.6475,0.0,11.0,808.0,0.12,0.89,3.8,0.0,0.11,0.87,0.25,5242.0,2.7,0.0,0.83,49.0,17.0,376.0,2.0,4.09,2.52,5.0,600.0,4.25,0.0014,1
77,1.6475,56.0,11.0,787.0,0.07,0.84,6.008,0.0162,0.33,0.92,0.65,3329.0,2.0,0.0,0.95,28.0,17.0,433.0,4.0,4.92,2.91,3.0,639.0,4.25,0.0006,1
